time,EAR
1,0.12396746180671626
2,0.30315610207910854
3,0.5468844716339083
4,0.25868309607212236
5,-0.09935481674903276
6,-0.2302657370475934
7,-0.23102668109165017
8,-0.2570006942727092
9,-0.1876675191643946
10,-0.09713828989983633
11,0.242181736166136
12,0.2768956695333824
13,0.49747278335702094
14,0.8046639202053729
15,0.9706673422558462
16,1.1250285525402444
17,1.0866378359603233
18,1.2280232239960813
19,1.2639462154309957
20,1.4130371171320157
21,1.4785732332164034
22,1.5554691759494226
23,1.6783806878284038
24,1.8651052984500578
25,1.985811778690563
26,2.0430148264059262
27,1.6006923544687652
28,1.111309753475408
29,0.6858451770745377
30,0.2346681350353182
31,-0.0951548446829259
32,-0.4539024409321449
33,-0.792322858003056
34,-1.28271047283712
35,-1.5974934797201745
36,-1.7352334761431887
37,-1.9273369825584248
38,-1.941644457540266
39,-2.0501373659950106
40,-2.0124038298754945
41,-2.1733505684610157
42,-2.3083785899417415
43,-2.299461623844033
44,-2.3122223602333283
0,-2.326583470686031
1,-2.3372117418153464
2,-2.2989305343176643
3,-2.2870078852288325
4,-2.24022731709987
5,-2.19780859757062
6,-1.959284823284873
7,-1.9841086429279746
8,-1.9539577653842757
9,-1.7570778796136886
10,-1.510767697502811
11,-1.277122126349959
12,-1.050458623437149
13,-1.4107063496452414
14,-1.5048453452408785
15,-1.4817639560066673
16,-1.5272651268772444
17,-1.7453879812113269
18,-1.6559689015283077
19,-1.643081438268246
20,-1.5684722603974313
21,-1.416709457697481
22,-1.416081207022329
23,-1.3537010184222693
24,-1.1414805570783826
25,-1.2362243430648459
26,-1.2749486656914886
27,-1.298045408971145
28,-1.389449269411055
29,-1.3230334785392714
30,-1.2833191863406335
31,-1.2132761215374663
32,-1.1673688206875803
33,-1.160938852432831
34,-1.0286400070507336
35,-0.9303915896646503
36,-0.9922528081324231
37,-0.9181128030257955
38,-0.8632944634542226
39,-0.9638416331904394
40,-0.909372332443401
41,-0.8520987091658966
42,-0.773862341881421
43,-0.6613162213358342
44,-0.6932993789687826
0,-0.8054235572153392
1,-0.9554475266479343
2,-1.0797403484915988
3,-1.1637268409573327
4,-0.9518115156248147
5,-0.9831139532790645
6,-1.0430893006171984
7,-1.1507166847361685
8,-1.0787126401210043
9,-0.9280566690061516
10,-1.016446963888146
11,-1.0076027868153206
12,-1.0068483350045883
13,-0.934427142712232
14,-1.0325260646144558
15,-1.0085874855807393
16,-0.9162604198262353
17,-0.8172020806068782
18,-0.8833026323880627
19,-0.8528128516881908
20,-0.8890223710732212
21,-0.8842639225871172
22,-0.8647454909841701
23,-1.0316772341058578
24,-1.073532855411778
25,-0.9571920526045178
26,-0.7827063367308104
27,-0.5901299984552454
28,-0.7706875527855778
29,-0.9134383338398411
30,-1.0018881344823214
31,-0.9320301646918434
32,-1.1270293230321222
33,-0.9838687261461952
34,-1.0611008545840055
35,-1.1504301445067748
36,-1.2055708837706178
37,-1.1693610675782111
38,-1.3982348640607023
39,-1.888647625389423
40,-2.4068756003926493
41,-2.4596228939033806
42,-2.2255648386951643
43,-2.1611210669070804
44,-2.0694117775272334
0,-1.6940486328448887
1,-1.6636919180877836
2,-1.6155608304916114
